,album_id,id,album_num,album_title
0,0,678d88b2-87b0-403b-b63d-5da7465aecc3,0,Led Zeppelin
1,1,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,0,Keep Yourself Alive
2,2,678d88b2-87b0-403b-b63d-5da7465aecc3,1,Led Zeppelin
3,3,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,1,Queen
4,4,678d88b2-87b0-403b-b63d-5da7465aecc3,2,Led Zeppelin
5,5,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,2,Keep Yourself Alive
6,6,678d88b2-87b0-403b-b63d-5da7465aecc3,3,Led Zeppelin
7,7,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,3,Queen
8,8,678d88b2-87b0-403b-b63d-5da7465aecc3,4,Led Zeppelin
9,9,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,4,Queen
10,10,678d88b2-87b0-403b-b63d-5da7465aecc3,5,Led Zeppelin II
11,11,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,5,Queen
12,12,678d88b2-87b0-403b-b63d-5da7465aecc3,6,Led Zeppelin II
13,13,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,6,Liar
14,14,678d88b2-87b0-403b-b63d-5da7465aecc3,7,Led Zeppelin II
15,15,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,7,Seven Seas of Rhye
16,16,678d88b2-87b0-403b-b63d-5da7465aecc3,8,Led Zeppelin
17,17,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,8,Seven Seas of Rhye
18,18,678d88b2-87b0-403b-b63d-5da7465aecc3,9,Led Zeppelin II
19,19,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,9,Queen II
20,20,678d88b2-87b0-403b-b63d-5da7465aecc3,10,Good Times Bad Times / Communication Breakdown
21,21,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,10,Seven Seas of Rhye
22,22,678d88b2-87b0-403b-b63d-5da7465aecc3,11,Whole Lotta Love / Living Loving Maid
23,23,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,11,Killer Queen
24,24,678d88b2-87b0-403b-b63d-5da7465aecc3,12,Good Times Bad Times / Communication Breakdown
25,25,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,12,Sheer Heart Attack
26,26,678d88b2-87b0-403b-b63d-5da7465aecc3,13,Good Times Bad Times / Communication Breakdown
27,27,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,13,Sheer Heart Attack
28,28,678d88b2-87b0-403b-b63d-5da7465aecc3,14,Whole Lotta Love / Living Loving Maid
29,29,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,14,Sheer Heart Attack
30,30,678d88b2-87b0-403b-b63d-5da7465aecc3,15,"Babe, I’m Gonna Leave You / Dazed and Confused"
31,31,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,15,What’s Goin’ On Here / Keep Yourself Alive
32,32,678d88b2-87b0-403b-b63d-5da7465aecc3,16,"Babe, I’m Gonna Leave You / Dazed and Confused"
33,33,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,16,Sheer Heart Attack
34,34,678d88b2-87b0-403b-b63d-5da7465aecc3,17,Led Zeppelin / Near the Beginning
35,35,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,17,Killer Queen
36,36,678d88b2-87b0-403b-b63d-5da7465aecc3,18,Led Zeppelin
37,37,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,18,Killer Queen
38,38,678d88b2-87b0-403b-b63d-5da7465aecc3,19,Led Zeppelin
39,39,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,19,Queen II
40,40,678d88b2-87b0-403b-b63d-5da7465aecc3,20,Led Zeppelin II
41,41,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,20,Queen II
42,42,678d88b2-87b0-403b-b63d-5da7465aecc3,21,Dusty in Memphis / Led Zeppelin
43,43,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,21,Sheer Heart Attack
44,44,678d88b2-87b0-403b-b63d-5da7465aecc3,22,Living Loving Maid (She’s Just a Woman) / Bring It On Home
45,45,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,22,Killer Queen
46,46,678d88b2-87b0-403b-b63d-5da7465aecc3,23,Heartbreaker / Bring It On Home
47,47,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,23,Queen II
48,48,678d88b2-87b0-403b-b63d-5da7465aecc3,24,Led Zeppelin III
49,49,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,24,Now I’m Here
50,50,678d88b2-87b0-403b-b63d-5da7465aecc3,25,Bron‐Y‐Aur Stomp / Immigrant Song
51,51,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,25,Now I’m Here
52,52,678d88b2-87b0-403b-b63d-5da7465aecc3,26,Led Zeppelin III
53,53,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,26,"Live in Shizuoka, Japan, 29 April, 1975"
54,54,678d88b2-87b0-403b-b63d-5da7465aecc3,27,Led Zeppelin III
55,55,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,27,A Night at the Opera
56,56,678d88b2-87b0-403b-b63d-5da7465aecc3,28,Bron‐Y‐Aur‐Stomp / Out on the Tiles
57,57,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,28,A Night at the Opera
58,58,678d88b2-87b0-403b-b63d-5da7465aecc3,29,Led Zeppelin III = レッド・ツェッペリン III
59,59,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,29,A Night at the Opera
60,60,678d88b2-87b0-403b-b63d-5da7465aecc3,30,Led Zeppelin III
61,61,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,30,A Night at the Opera
62,62,678d88b2-87b0-403b-b63d-5da7465aecc3,31,"Immigrant Song / Hey, Hey What Can I Do"
63,63,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,31,A Night at the Opera
64,64,678d88b2-87b0-403b-b63d-5da7465aecc3,32,"Immigrant Song / Hey, Hey, What Can I Do"
65,65,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,32,A Night at the Opera
66,66,678d88b2-87b0-403b-b63d-5da7465aecc3,33,"Immigrant Song / Hey, Hey, What Can I Do"
67,67,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,33,A Night at the Opera
68,68,678d88b2-87b0-403b-b63d-5da7465aecc3,34,Anthology of Led Zeppelin IV
69,69,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,34,Bohemian Rhapsody / I’m in Love With My Car
70,70,678d88b2-87b0-403b-b63d-5da7465aecc3,35,Whole Lotta Love
71,71,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,35,Bohemian Rhapsody
72,72,678d88b2-87b0-403b-b63d-5da7465aecc3,36,Gallows Pole
73,73,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,36,A Night at the Opera
74,74,678d88b2-87b0-403b-b63d-5da7465aecc3,37,"Immigrant Song / Hey, Hey, What Can I Do"
75,75,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,37,Lazing on a Sunday Evening
76,76,678d88b2-87b0-403b-b63d-5da7465aecc3,38,Pop Special 1 & 2
77,77,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,38,You’re My Best Friend
78,78,678d88b2-87b0-403b-b63d-5da7465aecc3,39,[Led Zeppelin IV]
79,79,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,39,You’re My Best Friend
80,80,678d88b2-87b0-403b-b63d-5da7465aecc3,40,[Led Zeppelin IV]
81,81,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,40,Somebody to Love
82,82,678d88b2-87b0-403b-b63d-5da7465aecc3,41,[Led Zeppelin IV]
83,83,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,41,A Day at the Races
84,84,678d88b2-87b0-403b-b63d-5da7465aecc3,42,Black Dog / Misty Mountain Hop
85,85,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,42,A Day at the Races
86,86,678d88b2-87b0-403b-b63d-5da7465aecc3,43,Black Dog
87,87,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,43,A Day at the Races
88,88,678d88b2-87b0-403b-b63d-5da7465aecc3,44,[Led Zeppelin IV]
89,89,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,44,A Day at the Races
90,90,678d88b2-87b0-403b-b63d-5da7465aecc3,45,This Is Led Zeppelin
91,91,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,45,A Day at the Races
92,92,678d88b2-87b0-403b-b63d-5da7465aecc3,46,Led Zeppelin III
93,93,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,46,A Night at the Opera
94,94,678d88b2-87b0-403b-b63d-5da7465aecc3,47,[Led Zeppelin IV]
95,95,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,47,A Day at the Races
96,96,678d88b2-87b0-403b-b63d-5da7465aecc3,48,[Led Zeppelin IV]
97,97,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,48,Queen
98,98,678d88b2-87b0-403b-b63d-5da7465aecc3,49,Whole Lotta Love / Immigrant Song / Bron‐Y‐Aur Stomp
99,99,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,49,Queen II
100,100,678d88b2-87b0-403b-b63d-5da7465aecc3,50,Rock and Roll / Four Sticks
101,101,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,50,Sheer Heart Attack
102,102,678d88b2-87b0-403b-b63d-5da7465aecc3,51,[Led Zeppelin IV]
103,103,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,51,A Day at the Races
104,104,678d88b2-87b0-403b-b63d-5da7465aecc3,52,Whole Lotta Love / Immigrant Song
105,105,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,52,Tie Your Mother Down
106,106,678d88b2-87b0-403b-b63d-5da7465aecc3,53,Acoustically
107,107,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,53,Tie Your Mother Down
108,108,678d88b2-87b0-403b-b63d-5da7465aecc3,54,Stairway to Heaven
109,109,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,54,Teo Toriatte (Let Us Cling Together)
110,110,678d88b2-87b0-403b-b63d-5da7465aecc3,55,Houses of the Holy
111,111,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,55,Queen’s First E.P.
112,112,678d88b2-87b0-403b-b63d-5da7465aecc3,56,Houses of the Holy
113,113,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,56,Long Away
114,114,678d88b2-87b0-403b-b63d-5da7465aecc3,57,Houses of the Holy
115,115,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,57,News of the World
116,116,678d88b2-87b0-403b-b63d-5da7465aecc3,58,Over the Hills and Far Away / Dancing Days
117,117,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,58,We Are the Champions
118,118,678d88b2-87b0-403b-b63d-5da7465aecc3,59,D'yer Mak'er / The Crunge
119,119,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,59,News of the World
120,120,678d88b2-87b0-403b-b63d-5da7465aecc3,60,The Ocean
121,121,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,60,News of the World
122,122,678d88b2-87b0-403b-b63d-5da7465aecc3,61,Led Zeppelin
123,123,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,61,We Are the Champions
124,124,678d88b2-87b0-403b-b63d-5da7465aecc3,62,Led Zeppelin III
125,125,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,62,News of the World
126,126,678d88b2-87b0-403b-b63d-5da7465aecc3,63,Houses of the Holy
127,127,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,63,News of the World
128,128,678d88b2-87b0-403b-b63d-5da7465aecc3,64,[Led Zeppelin IV]
129,129,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,64,Somebody to Love / Make Me Smile
130,130,678d88b2-87b0-403b-b63d-5da7465aecc3,65,Physical Graffiti
131,131,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,65,News of the World
132,132,678d88b2-87b0-403b-b63d-5da7465aecc3,66,Physical Graffiti
133,133,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,66,We Are the Champions / We Will Rock You
134,134,678d88b2-87b0-403b-b63d-5da7465aecc3,67,Trampled Under Foot / Black Country Woman
135,135,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,67,We Are the Champions
136,136,678d88b2-87b0-403b-b63d-5da7465aecc3,68,Innerview
137,137,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,68,News of the World
138,138,678d88b2-87b0-403b-b63d-5da7465aecc3,69,Nightbird & Company: Cosmic Connections Presented by the US Army Reserve
139,139,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,69,Invite You to a Night at the Warehouse
140,140,678d88b2-87b0-403b-b63d-5da7465aecc3,70,Physical Graffiti
141,141,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,70,Freddie’s Boys at the Beeb
142,142,678d88b2-87b0-403b-b63d-5da7465aecc3,71,Presence
143,143,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,71,Spread Your Wings
144,144,678d88b2-87b0-403b-b63d-5da7465aecc3,72,Presence
145,145,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,72,Spread Your Wings
146,146,678d88b2-87b0-403b-b63d-5da7465aecc3,73,Presence
147,147,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,73,It’s Late
148,148,678d88b2-87b0-403b-b63d-5da7465aecc3,74,The Song Remains the Same
149,149,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,74,Bohemian Rhapsody
150,150,678d88b2-87b0-403b-b63d-5da7465aecc3,75,The Soundtrack From the Film The Song Remains the Same
151,151,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,75,Bicycle Race / Fat Bottomed Girls
152,152,678d88b2-87b0-403b-b63d-5da7465aecc3,76,Led Zeppelin II
153,153,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,76,Bicycle Race
154,154,678d88b2-87b0-403b-b63d-5da7465aecc3,77,Led Zeppelin
155,155,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,77,Jazz
156,156,678d88b2-87b0-403b-b63d-5da7465aecc3,78,Led Zeppelin III
157,157,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,78,Jazz
158,158,678d88b2-87b0-403b-b63d-5da7465aecc3,79,Houses of the Holy
159,159,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,79,Jazz
160,160,678d88b2-87b0-403b-b63d-5da7465aecc3,80,[Led Zeppelin IV]
161,161,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,80,Jazz
162,162,678d88b2-87b0-403b-b63d-5da7465aecc3,81,Presence
163,163,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,81,Jazz
164,164,678d88b2-87b0-403b-b63d-5da7465aecc3,82,"Immigrant Song / Hey, Hey, What Can I Do"
165,165,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,82,Jazz
166,166,678d88b2-87b0-403b-b63d-5da7465aecc3,83,The Song Remains the Same
167,167,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,83,Jazz
168,168,678d88b2-87b0-403b-b63d-5da7465aecc3,84,Candy Store Rock / Royal Orleans
169,169,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,84,Jazz
170,170,678d88b2-87b0-403b-b63d-5da7465aecc3,85,The Song Remains the Same
171,171,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,85,Jazz
172,172,678d88b2-87b0-403b-b63d-5da7465aecc3,86,Presence
173,173,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,86,Don’t Stop Me Now
174,174,678d88b2-87b0-403b-b63d-5da7465aecc3,87,Led Zeppelin II
175,175,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,87,Jealousy
176,176,678d88b2-87b0-403b-b63d-5da7465aecc3,88,Led Zeppelin III
177,177,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,88,Live Killers
178,178,678d88b2-87b0-403b-b63d-5da7465aecc3,89,[Led Zeppelin IV]
179,179,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,89,Live Killers
180,180,678d88b2-87b0-403b-b63d-5da7465aecc3,90,Led Zeppelin III
181,181,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,90,Live Killers
182,182,678d88b2-87b0-403b-b63d-5da7465aecc3,91,[Led Zeppelin IV]
183,183,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,91,Live Killers
184,184,678d88b2-87b0-403b-b63d-5da7465aecc3,92,The Best of the BBC Rock Hour #17
185,185,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,92,Live Killers
186,186,678d88b2-87b0-403b-b63d-5da7465aecc3,93,In Through the Out Door
187,187,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,93,Crazy Little Thing Called Love
188,188,678d88b2-87b0-403b-b63d-5da7465aecc3,94,In Through the Out Door
189,189,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,94,Crazy Little Thing Called Love
190,190,678d88b2-87b0-403b-b63d-5da7465aecc3,95,In Through the Out Door
191,191,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,95,Complete Kampuchea Concert
192,192,678d88b2-87b0-403b-b63d-5da7465aecc3,96,In Through the Out Door
193,193,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,96,Mustapha
194,194,678d88b2-87b0-403b-b63d-5da7465aecc3,97,In Through the Out Door
195,195,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,97,Crazy Little Thing Called Love
196,196,678d88b2-87b0-403b-b63d-5da7465aecc3,98,Fool in the Rain / Hot Dog
197,197,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,98,Live Killers
198,198,678d88b2-87b0-403b-b63d-5da7465aecc3,99,"1980-07-07: Berlin, Germany"
199,199,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,99,Live Killers
